Colorado Building ID,Building Street Address (ESPM),Building City (ESPM),Latitude,Longitude,Gross Floor Area (Tax Assessor),Primary Property Type - Portfolio Manager-Calculated,Weather Normalized Site EUI (kBtu/ft²),Gross Floor Area (ESPM),Total GHG Emissions (Metric Tons CO2e),Building Street Address (Tax Assessor)
FC1381,251 W. PITKIN ST.,Fort Collins,40.570401,-105.080992,148654.0,Laboratory,172.4,148654.0,2371.39,251 W. PITKIN ST.
FC2233,1426 Oakridge Dr.,Fort Collins,40.5230929,-105.0528115,50067.0,Hotel,61.8,49473.0,336.43,1426 OAKRIDGE DR
C18229,575 Ed Beegles Lane,Greeley,40.4261697,-104.6340585,52118.0,Manufacturing/Industrial Plant,,52118.0,,575 ED BEEGLES 15
C18342,120 Offerson Road,Beaver Creek,39.6075843,-106.5172497,326040.0,Multifamily Housing,99.4,326040.0,2805.51,120 OFFERSON RD
FC2959,111 Chestnut Street,Fort Collins,40.5875671,-105.0738708,116589.0,Hotel,120.5,116589.0,1204.79,111 CHESTNUT ST
C18396,6390 S. Windermere Street,Littleton,39.6008659,-105.0065655,,K-12 School,44.5,91919.0,333.61,6390 S. Windermere Street
EB111,6101 Lookout Rd,Boulder,40.0686387,-105.2110947,55175.0,Mixed Use Property,49.5,55175.0,354.37,6101 LOOKOUT RD
FC2857,1127 OAKRIDGE DR,FORT COLLINS,40.52088,-105.0556911,56600.0,HOTEL,,56600,,1127 OAKRIDGE DR
FC2114,3461 Precision Drive,Fort Collins,40.5172774,-105.0134694,60961.0,Manufacturing/Industrial Plant,172.5,60961.0,900.82,3461 PRECISION DR
C18334,8207 INTERPORT BLVD,ENGLEWOOD,39.5669137,-104.8471432,61472.0,TRANSPORTATION TERMINAL/STATION,,61472,,8207 INTERPORT BLVD
C18397,190 E. Littleton Blvd.,LITTLETON,39.6127629,-104.9855401,,,,,,190 E. Littleton Blvd.
FC2244,1842 N College Avenue,Fort Collins,40.6117271,-105.0740078,124954.0,Supermarket/Grocery Store,104.9,124954.0,1459.28,1842 N COLLEGE AVE
FC2176,1001 Buckingham St.,Fort Collins,40.5915195,-105.0601458,,Non-Refrigerated Warehouse,39.5,50680.0,161.41,1001 Buckingham St.
FC2982,3580 Stanford Rd,Fort Collins,40.5384981,-105.0695629,86661.0,Multifamily Housing,27.7,86661.0,236.24,3580 STANFORD RD
C18343,210 Offerson Rd,Beaver Creek,39.6056453,-106.5159659,214500.0,Multifamily Housing,108.5,217310.0,1768.03,210 OFFERSON RD
C18148,1767 DENVER WEST MARRIOTT BLVD UNIT,GOLDEN,39.7417812,-105.1622153,66436.0,MULTIFAMILY HOUSING,,66436,,1767 DENVER WEST MARRIOTT BLVD UNIT
C18400,1055 Adams Circle,Boulder,40.0054833,-105.256509,,Multifamily Housing,121.5,127550.0,1216.08,1055 Adams Circle
EB214,1919 14th St,Boulder,40.0177175,-105.2774038,88301.0,Office,99.4,88301.0,877.69,1919 14TH ST
FC1231,2345 W PROSPECT RD,FORT COLLINS,40.5669055,-105.1215779,63600.0,EDUCATION,,63600,,2345 W PROSPECT RD
FC2418,4625 S MASON ST,FORT COLLINS,40.5213143,-105.0795945,,Retail Store,107.5,95230.0,1044.47,4625 S MASON ST
EB112,6285 Lookout Rd,Boulder,40.0712287,-105.2082977,79684.0,Other - Technology/Science,82.4,79684.0,886.76,6285 LOOKOUT RD
C18403,2605 Verde Drive,Colorado Springs,38.8150411,-104.7829071,,Multifamily Housing,52.5,228849.0,680.82,2605 Verde Drive
FC2133,1235 N COLLEGE AVE,FORT COLLINS,40.6041482,-105.0771575,50000.0,AUTOMOBILE DEALERSHIP,,50000,,1235 N COLLEGE AVE
EB237,3030 Center Green Drive,Boulder,40.0306716,-105.245994,79000.0,Hotel,54.9,79000.0,385.50,3030 CENTER GREEN DRIVE
C18344,200 Vail Rd,Vail,39.6397893,-106.3753375,88503.0,Multifamily Housing,92.0,88503.0,575.82,200 VAIL ROAD
C18263,37440 COUNTY ROAD 43,WELD,40.5456335,-104.658569,64875.0,MANUFACTURING/INDUSTRIAL PLANT,,64875,,37440 COUNTY ROAD 43
FC2300,700 W. PITKIN ST.,Fort Collins,40.5716821,-105.0892926,107970.0,Residence Hall/Dormitory,51.2,107970.0,459.11,700 W. PITKIN ST.
C18216,717 N 71st Ave,Greeley,40.441071,-104.7885097,142317.0,K-12 School,35.0,142317.0,516.01,717 71ST AVE
FC1455,3520 TIMBERWOOD DR,FORT COLLINS,40.5217741,-105.0128889,56147.0,HOTEL,,56147,,3520 TIMBERWOOD DR
EB206,3200 Walnut St,Boulder,40.0191281,-105.2508254,151384.0,Laboratory,166.5,151384.0,2048.75,3200 WALNUT ST
C18235,19750 County Road 7,BERTHOUD,40.2877119,-104.9934787,53860.0,Manufacturing/Industrial Plant,,85000.0,,19750 COUNTY ROAD 7
C18149,1767 DENVER WEST MARRIOTT BLVD UNIT,GOLDEN,39.7417812,-105.1622153,158752.0,MULTIFAMILY HOUSING,,158752,,1767 DENVER WEST MARRIOTT BLVD UNIT
C18211,2831 Bonanza Dr,Erie,40.0026819,-105.0360171,66905.0,Self-Storage Facility,6.8,66905.0,51.96,2831 BONANZA
FC1462,1251 S. MASON ST.,Fort Collins,40.571822,-105.07934,73942.0,Office,108.1,73942.0,832.29,1251 S. MASON ST.
FC2328,1250 E MAGNOLIA ST,FORT COLLINS (N),40.586224,-105.0547234,,Retail Store,94.1,213445.0,2242.26,1250 E MAGNOLIA ST
C18255,1100 8TH,GREELEY,40.4205453,-104.6899132,110149.0,MULTIFAMILY HOUSING,,110149,,1100 8TH
EB226,555 30TH ST,BOULDER,39.998238,-105.2537054,71756.0,HOTEL,,71756,,555 30TH ST
C18155,5679 South Alkire St,Littleton,39.6140299,-105.148472,56769.0,Hotel,,56769.0,,5679 S ALKIRE ST
FC2335,1308 W PLUM ST,FORT COLLINS,40.5768786,-105.0990361,194888.0,LODGINGRESIDENTIAL,,194888,,1308 W PLUM ST
FC2998,3509 Lochwood Dr.,Fort Collins,40.5392121,-105.0523861,70122.0,Senior Living Community,68.7,70122.0,559.08,3509 LOCHWOOD DR
